Janela Flutuante,Temporada,Acurácia,Desvio Padrão Acurácia,F1-Score,Desvio Padrão F1-Score
128-16,2008-2009,0.89,-,0.89,-
128-16,2009-2010,0.71,-,0.69,-
128-16,2011-2012,0.90,-,0.88,-
128-16,2012-2013,0.89,-,0.88,-
128-16,2013-2014,0.89,-,0.89,-
128-16,2014-2015,0.89,-,0.89,-
128-16,2015-2016,0.89,-,0.89,-
128-16,2016-2017,0.89,-,0.89,-
128-16,2018-2019,0.91,-,0.91,-
128-16,2019-2020,0.86,-,0.86,-
128-16,2020-2021,0.91,-,0.91,-
128-16,2021-2022,0.90,-,0.90,-
128-16,2022-2023,0.91,-,0.91,-
128-16,2023-2024,0.91,-,0.91,-
128-16,-,0.88,0.05,0.88,0.05
