Janela Flutuante,Temporada,Acurácia,Desvio Padrão Acurácia,F1-Score,Desvio Padrão F1-Score
128-4,2008-2009,0.87,-,0.87,-
128-4,2009-2010,0.74,-,0.71,-
128-4,2011-2012,0.89,-,0.87,-
128-4,2012-2013,0.88,-,0.87,-
128-4,2013-2014,0.89,-,0.89,-
128-4,2014-2015,0.88,-,0.88,-
128-4,2015-2016,0.88,-,0.87,-
128-4,2016-2017,0.87,-,0.87,-
128-4,2018-2019,0.91,-,0.91,-
128-4,2019-2020,0.86,-,0.86,-
128-4,2020-2021,0.90,-,0.90,-
128-4,2021-2022,0.90,-,0.90,-
128-4,2022-2023,0.90,-,0.90,-
128-4,2023-2024,0.90,-,0.90,-
128-4,-,0.88,0.04,0.87,0.05
128-6,2008-2009,0.87,-,0.86,-
128-6,2009-2010,0.76,-,0.74,-
128-6,2011-2012,0.89,-,0.87,-
128-6,2012-2013,0.88,-,0.88,-
128-6,2013-2014,0.88,-,0.88,-
128-6,2014-2015,0.89,-,0.88,-
128-6,2015-2016,0.88,-,0.87,-
128-6,2016-2017,0.88,-,0.88,-
128-6,2018-2019,0.90,-,0.90,-
128-6,2019-2020,0.86,-,0.87,-
128-6,2020-2021,0.90,-,0.90,-
128-6,2021-2022,0.90,-,0.90,-
128-6,2022-2023,0.90,-,0.90,-
128-6,2023-2024,0.90,-,0.90,-
128-6,-,0.88,0.03,0.87,0.04
128-8,2008-2009,0.87,-,0.87,-
128-8,2009-2010,0.76,-,0.74,-
128-8,2011-2012,0.90,-,0.88,-
128-8,2012-2013,0.88,-,0.88,-
128-8,2013-2014,0.89,-,0.89,-
128-8,2014-2015,0.89,-,0.88,-
128-8,2015-2016,0.89,-,0.88,-
128-8,2016-2017,0.89,-,0.89,-
128-8,2018-2019,0.91,-,0.91,-
128-8,2019-2020,0.87,-,0.87,-
128-8,2020-2021,0.90,-,0.90,-
128-8,2021-2022,0.90,-,0.90,-
128-8,2022-2023,0.91,-,0.90,-
128-8,2023-2024,0.90,-,0.90,-
128-8,-,0.88,0.04,0.88,0.04
