placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,ER_casa,IA%_casa,3PC_casa,3PT_casa,3P%_casa,2PC_casa,2PT_casa,2P%_casa,LLC_casa,LLT_casa,LL%_casa,EN_casa,BR_casa,B/E_casa,TO_casa,FC_casa,T/FC_casa,ET_casa,VI_casa,EF_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante,ER_visitante,IA%_visitante,3PC_visitante,3PT_visitante,3P%_visitante,2PC_visitante,2PT_visitante,2P%_visitante,LLC_visitante,LLT_visitante,LL%_visitante,EN_visitante,BR_visitante,B/E_visitante,TO_visitante,FC_visitante,T/FC_visitante,ET_visitante,VI_visitante,EF_visitante
91,99,2014-10-31,1,1,2014-2015,Paulistano,Flamengo,78.6,22.8,40.4,15.4,35.0,12.4,22.6,10.6,12.0,1.018,7.6,25.8,29.477999999999998,20.2,38.0,52.410000000000004,15.4,20.4,76.562,1.6,9.4,0.914,1.0,26.0,0.042,12.0,2.2,81.6,80.2,27.0,38.8,14.4,33.4,10.0,23.4,16.4,12.4,1.3299999999999998,9.0,26.6,33.138,19.4,34.0,57.306,14.4,20.4,72.898,2.0,8.8,0.7140000000000001,1.6,21.6,0.086,12.4,1.6,89.8
90,66,2014-11-04,1,1,2014-2015,Sesi Franca,Fortaleza B. C. / CFO,84.4,30.0,40.4,14.0,34.2,8.4,25.8,15.8,14.2,1.2920000000000003,10.0,24.4,42.11,20.2,37.4,54.120000000000005,14.0,20.6,68.624,2.2,10.2,0.834,4.2,20.6,0.22000000000000003,14.2,1.8,96.4,71.8,19.8,42.8,9.2,37.6,12.4,25.2,12.0,13.6,1.012,6.6,26.0,25.134,21.4,42.2,50.714,9.2,14.4,63.878,1.6,10.2,0.76,3.2,20.0,0.158,13.6,2.2,75.8
83,86,2014-11-04,1,1,2014-2015,Bauru Basket,Brasília,76.0,25.8,34.4,15.8,35.0,11.8,23.2,14.6,13.0,1.2260000000000002,8.6,26.2,32.556,17.2,37.2,45.897999999999996,15.8,20.4,75.14999999999999,1.0,10.8,0.8859999999999999,0.8,17.4,0.05,13.0,1.0,82.0,78.0,24.0,42.4,11.6,33.0,7.8,25.2,15.8,9.2,1.7220000000000002,8.0,29.0,27.901999999999997,21.2,38.2,55.238,11.6,15.4,72.904,2.2,9.8,1.0919999999999999,3.2,22.4,0.15199999999999997,9.2,2.6,88.8
71,64,2014-11-04,1,1,2014-2015,Coop/São José Basketball,Minas,78.4,23.4,39.6,15.4,37.0,10.6,26.4,17.0,14.4,1.282,7.8,21.0,34.69199999999999,19.8,36.4,54.339999999999996,15.4,22.2,68.66000000000001,0.0,7.4,0.532,1.4,20.2,0.076,14.4,3.2,90.2,70.6,21.6,39.6,9.4,31.0,9.8,21.2,17.2,15.0,1.1800000000000002,7.2,20.2,35.690000000000005,19.8,39.8,50.262,9.4,13.8,65.50000000000001,1.6,10.0,0.6839999999999999,4.2,20.2,0.21800000000000003,15.0,4.0,80.6
90,80,2014-11-04,1,1,2014-2015,Mogi,Uberlândia,78.0,22.2,42.8,13.0,38.6,12.0,26.6,15.8,14.4,1.104,7.4,19.6,37.35,21.4,42.6,50.22,13.0,18.0,72.14000000000001,2.4,8.2,0.5700000000000001,1.2,22.8,0.054000000000000006,14.4,2.8,89.0,77.2,30.0,30.8,16.4,34.8,10.6,24.2,15.0,12.0,1.366,10.0,28.4,35.379999999999995,15.4,33.4,45.522,16.4,20.6,79.65400000000001,2.0,10.6,0.9880000000000001,2.0,18.6,0.11000000000000001,12.0,2.8,87.0
72,75,2014-11-05,1,1,2014-2015,Rio Claro,Palmeiras,72.0,24.0,34.0,14.0,28.0,9.0,19.0,16.0,10.0,1.6,8.0,24.0,33.33,17.0,35.0,48.57,14.0,19.0,73.68,0.0,8.0,0.8,0.0,21.0,0.0,10.0,2.0,75.0,74.6,21.6,38.0,15.0,33.2,9.6,23.6,13.2,12.8,1.076,7.2,20.0,36.382,19.0,39.8,48.018,15.0,20.6,70.152,1.8,12.0,1.034,1.8,20.0,0.09,12.8,2.4,82.8
96,73,2014-11-05,1,1,2014-2015,L. Sorocabana,Macaé Basquete,78.6,25.2,38.0,15.4,34.4,12.6,21.8,15.0,15.2,0.984,8.4,22.4,38.91799999999999,19.0,36.6,51.29200000000001,15.4,20.0,77.44800000000001,1.4,7.8,0.5279999999999999,2.0,24.2,0.084,15.2,4.0,86.4,78.4,24.0,38.0,16.4,34.2,9.4,24.8,13.4,14.8,0.9199999999999999,8.0,23.0,34.47,19.0,38.0,50.122,16.4,22.0,74.29599999999999,2.0,10.6,0.73,1.8,22.4,0.086,14.8,3.4,84.0
81,73,2014-11-06,2,1,2014-2015,Sesi Franca,Brasília,83.2,28.8,38.8,15.6,32.4,8.6,23.8,15.4,12.0,1.41,9.6,25.6,38.089999999999996,19.4,37.0,52.714,15.6,23.0,69.124,2.4,10.6,0.962,3.4,21.8,0.15999999999999998,12.0,1.0,92.0,78.6,23.4,42.8,12.4,33.8,7.2,26.6,16.0,11.0,1.5419999999999998,7.8,26.4,29.841999999999995,21.4,39.2,54.27,12.4,15.8,75.176,3.0,9.0,0.85,2.6,23.2,0.118,11.0,2.4,89.2
60,61,2014-11-06,2,1,2014-2015,Mogi,Minas,73.6,18.6,41.2,13.8,37.8,11.2,26.6,14.0,15.0,0.954,6.2,18.2,33.168,20.6,42.2,48.67,13.8,19.2,71.756,2.6,9.4,0.628,1.8,21.0,0.092,15.0,3.4,82.6,67.8,21.0,38.0,8.8,30.4,9.6,20.8,16.2,15.6,1.066,7.0,21.0,33.69,19.0,38.4,50.296,8.8,12.8,66.16600000000001,1.6,9.8,0.6460000000000001,2.2,21.0,0.11199999999999999,15.6,3.6,73.4
80,52,2014-11-06,2,1,2014-2015,Coop/São José Basketball,Uberlândia,77.8,21.0,41.2,15.6,38.2,11.2,27.0,17.4,14.8,1.272,7.0,21.0,30.883999999999997,20.6,39.0,53.21999999999999,15.6,22.2,69.66,0.2,9.8,0.6799999999999999,1.4,20.6,0.072,14.8,2.6,90.8,73.8,25.2,34.4,14.2,37.8,11.6,26.2,14.4,13.2,1.248,8.4,26.4,28.979999999999997,17.2,37.4,45.762,14.2,18.6,75.248,2.2,10.4,0.906,1.8,20.0,0.092,13.2,2.8,82.4
